InteractionID,CustomerID,CustomerName,CustomerEmail,CustomerAge,Country,City,Region,DateOpened,DateClosed,IssueType,Priority,Status,AssignedAgent,ResolutionTimeHours,CustomerSatisfaction,Channel,OrderID,OrderAmount,OrderStatus
990298,3262,Leah Peters,emilyramirez@harper.com,58,Tajikistan,Port Shannon,Wisconsin,2025-05-01,2025-05-13,Billing,Low,Closed,Joshua Petty,74.02,Neutral,Web,67232,437.53,Cancelled
159298,1385,James Foster,maryarnold@ford.net,33,Hungary,East Melissa,Oklahoma,2024-08-22,2024-10-27,Billing,Medium,Closed,Shannon Barnett,41.74,Very Dissatisfied,In-Person,81563,119.96,Cancelled
196033,5300,Kelly Rodriguez MD,johnsonkimberly@johnson.org,63,Australia,East Brett,Iowa,2024-07-29,2024-10-31,Billing,Medium,Pending,Stephanie Cobb,57.06,Satisfied,Email,94205,190.31,Pending
188994,8784,Melanie Miller,ybrown@hotmail.com,26,Saint Lucia,Lake Jeanette,Ohio,2025-01-06,2025-06-06,Technical,Critical,Pending,William Price,3.63,Very Satisfied,Web,99794,403.83,Pending
478596,9842,Jesse Bruce,maurice11@stone.org,40,Malta,Mercadoview,North Carolina,2025-04-22,2024-10-07,Shipping,Medium,Pending,Erik Anderson,17.82,Satisfied,Web,85844,137.37,Returned
976084,1783,Thomas Cervantes,osmith@arnold-johnson.com,61,Cameroon,North Jameschester,Colorado,2025-02-27,2025-06-07,Account,Medium,Closed,Katelyn Franklin,3.37,Satisfied,In-Person,65739,88.23,Returned
277297,4678,Jonathan Patel,tanyaodonnell@yahoo.com,36,Palau,Jeffreystad,Ohio,2024-08-05,2024-10-28,Shipping,Low,Open,Christine Brown,25.84,Satisfied,Web,56029,539.46,Cancelled
871720,3366,Stacy Harris,tracyanderson@hall.org,29,French Guiana,Port Justinton,Arkansas,2025-06-09,2024-07-26,Technical,Medium,Pending,Yvonne Foster,2.98,Very Satisfied,In-Person,78118,880.5,Pending
948258,6120,Alexa Whitaker,sjones@weber-bradford.info,58,Ireland,Lawrencemouth,Wyoming,2024-11-28,2025-03-24,Shipping,Critical,Open,Nancy Jackson,14.81,Dissatisfied,Web,53197,323.08,Cancelled
802263,1625,Alexander Hess,kimberlybrown@hotmail.com,25,United States Minor Outlying Islands,Heatherside,Vermont,2025-04-17,2025-01-01,Technical,Medium,Pending,Krystal Moore,72.29,Neutral,Email,72898,822.58,Returned
995310,4209,Mary Strickland,copelandanthony@sanders.com,52,Norfolk Island,East Amandafurt,Maryland,2025-03-13,2025-05-18,Returns,High,Pending,Rebekah Trujillo,2.21,Very Satisfied,Email,52977,404.02,Delivered
423104,2775,David Beck,kimamber@yahoo.com,67,Central African Republic,Angelaberg,Arkansas,2024-08-01,2025-04-06,Shipping,Low,Escalated,John Bennett,24.24,Satisfied,Web,64865,913.72,Cancelled
363804,3300,Debra Bennett,sharontorres@yahoo.com,49,Dominica,South Nancy,Montana,2024-09-06,2025-03-10,Technical,Low,Open,Robert James,33.7,Very Dissatisfied,In-Person,50851,560.67,Returned
735378,9917,Dennis Cline,ugonzalez@hotmail.com,29,Gibraltar,Andrewview,North Carolina,2024-11-22,2025-07-11,Returns,Medium,Pending,Christian Reid MD,8.93,Neutral,In-Person,56788,126.28,Pending
322527,4055,Alex White,gwarner@hotmail.com,39,Uganda,Dannyton,Idaho,2025-02-24,2025-04-10,Shipping,High,Escalated,Amanda Aguilar,7.02,Very Dissatisfied,Web,62544,946.08,Returned
736277,2511,Laura Todd,edwardssarah@russell.com,65,Martinique,Larryhaven,Ohio,2024-09-22,2025-03-05,Shipping,High,Pending,Steve Howard,23.63,Dissatisfied,In-Person,93552,861.35,Pending
137470,8600,Stacy Willis,dlarson@gmail.com,49,Timor-Leste,Lake Bethanyton,Texas,2025-01-05,2024-12-29,Returns,Low,Escalated,Anne Gutierrez,3.4,Dissatisfied,Web,85403,645.58,Returned
709436,5780,Brian Jenkins,marialopez@jenkins-nash.info,44,Palestinian Territory,Timothyside,Minnesota,2024-07-19,2025-03-04,Shipping,Critical,Open,Thomas Klein,34.42,Satisfied,Chatbot,78665,811.44,Pending
814338,4422,Eric Hill,anthony70@gmail.com,38,Palau,East Mollytown,Oklahoma,2025-01-14,2024-12-25,Returns,High,Open,Tracey Martinez,6.86,Very Satisfied,Phone,73581,991.98,Returned
266076,3581,Dr. Megan Fisher,qhernandez@hotmail.com,70,Romania,Lake Heather,Nevada,2025-06-23,2025-02-07,Shipping,Medium,Open,Micheal Yoder,10.05,Very Dissatisfied,Phone,73205,153.16,Pending
551589,6313,Benjamin Chavez,katelynnelson@davis-henry.biz,55,Israel,Lake Monique,Ohio,2025-06-30,2025-01-17,Account,Low,Pending,Raymond Mcguire,3.41,Satisfied,Chatbot,71584,517.8,Cancelled
769485,5543,Joseph Velasquez,aholmes@yahoo.com,57,Costa Rica,Lake Christinebury,Oregon,2024-08-12,2025-03-08,Billing,Critical,Closed,Mark Holmes,29.32,Satisfied,Chatbot,54444,977.41,Cancelled
512648,9493,Michael Olsen,charmon@edwards-myers.org,21,Seychelles,West Danielle,Ohio,2024-11-29,2024-10-12,Returns,Medium,Closed,Larry Meadows,13.75,Dissatisfied,Web,99342,119.17,Delivered
942708,2106,Jessica Young,nathansanchez@hotmail.com,56,Faroe Islands,Cynthiafort,Illinois,2024-09-28,2024-08-07,Account,Low,Closed,Miranda Curtis,6.09,Very Dissatisfied,In-Person,99463,960.67,Pending
858133,7761,Kathryn Nelson,stuart48@hotmail.com,22,Dominica,East Garyshire,Iowa,2025-04-08,2024-09-01,Account,Low,Open,Madison Wagner,16.59,Dissatisfied,In-Person,76258,642.49,Pending
633795,7806,Sharon Lucero,robinsonpatricia@elliott-collins.net,60,Estonia,Port Jennifershire,Vermont,2025-03-16,2025-05-23,Account,Low,Escalated,Dr. Kristen Beasley,5.63,Very Dissatisfied,Web,61790,258.69,Cancelled
490133,1552,Derek Wright,roydennis@yahoo.com,61,Bahrain,Madisonshire,Mississippi,2024-12-11,2025-03-14,Technical,Medium,Pending,Benjamin Anderson,3.97,Dissatisfied,Email,71073,148.15,Delivered
670610,8460,Daniel Gillespie,nicholaswilson@brennan.biz,69,Cote d'Ivoire,Danatown,Illinois,2025-07-09,2024-09-23,Returns,High,Closed,Gregory Perez,20.7,Satisfied,Phone,89696,790.4,Delivered
566463,5872,Amber Davis,melinda52@reed.com,57,Eritrea,New Crystalshire,New York,2025-05-10,2024-10-08,Account,Medium,Escalated,Derrick Burnett,14.74,Very Satisfied,Chatbot,61032,676.08,Cancelled
626455,2999,Warren Peterson,matthew82@yahoo.com,56,San Marino,West Robert,Idaho,2025-04-15,2024-11-20,Technical,High,Escalated,Daniel Coleman,22.84,Dissatisfied,In-Person,58492,180.99,Delivered
381270,5460,Courtney Gonzalez,bmartin@crosby.net,60,Tonga,Robertstad,South Carolina,2024-10-22,2024-08-01,Billing,Low,Closed,Donna Wells,3.9,Satisfied,Web,77135,416.91,Returned
137669,1258,Angela Mason,sestes@hotmail.com,51,Egypt,West Martin,Colorado,2024-11-21,2024-07-20,Returns,Medium,Pending,Frank Stout,27.48,Very Dissatisfied,In-Person,86025,611.3,Pending
128778,4512,Gail Avila,beckyturner@gonzalez.com,21,Greenland,Tylermouth,Illinois,2025-02-27,2024-07-27,Account,Low,Pending,Mrs. Evelyn Ballard,14.12,Dissatisfied,In-Person,71825,687.79,Pending
481696,7858,Crystal Turner,gschaefer@lloyd.biz,23,Netherlands Antilles,New Lisaberg,Hawaii,2025-06-18,2025-06-12,Shipping,Low,Closed,Christina Becker,15.84,Satisfied,Chatbot,67600,80.51,Returned
587476,6459,Mr. Mark Schroeder,bethany50@smith-duncan.com,42,Bahamas,Grahamshire,Georgia,2025-06-08,2025-06-07,Returns,High,Open,Catherine Williams,94.64,Very Satisfied,Email,91514,365.4,Cancelled
433934,5284,Todd Bryant,aaron97@hotmail.com,22,Chad,New Lauren,Ohio,2025-07-04,2025-04-15,Billing,Critical,Open,Anthony Camacho,23.59,Very Satisfied,Web,80325,729.23,Cancelled
498474,9814,Javier Moreno,pattonnathan@phillips.net,64,Tajikistan,Gentryborough,Texas,2024-11-28,2025-03-08,Billing,Critical,Closed,Amy Miller,42.47,Satisfied,Chatbot,63516,709.89,Returned
544188,7429,Shawn Carlson,craiglisa@yahoo.com,24,Northern Mariana Islands,South Jacob,Connecticut,2025-05-11,2025-06-07,Shipping,Critical,Closed,Kenneth Allen,32.33,Very Satisfied,Email,89305,527.66,Cancelled
651291,9609,Diane Anderson,josephparks@gmail.com,49,Somalia,Sarahside,New Hampshire,2024-09-08,2025-05-31,Shipping,High,Closed,Ashlee Clay,12.66,Neutral,In-Person,78346,974.97,Delivered
272478,4295,Martin Vega,jamie61@benjamin-wilson.com,37,Mexico,New Nicholasmouth,Michigan,2025-01-10,2025-02-02,Technical,Low,Closed,Mark Green,52.08,Very Dissatisfied,Phone,99542,710.06,Returned
687737,8040,Amanda Strickland,tlong@hotmail.com,49,Ireland,Ramireztown,Wisconsin,2025-06-09,2024-12-10,Account,Critical,Escalated,Linda Morgan,63.49,Very Satisfied,Web,62075,395.49,Returned
286055,3109,Melanie Mills,wstuart@gonzalez.com,20,Finland,East Charles,Nebraska,2025-06-21,2024-11-08,Returns,Medium,Closed,Mrs. Hannah Barker,35.05,Very Satisfied,Email,95683,475.92,Delivered
347593,3798,Tonya Silva,ellismark@yahoo.com,34,Togo,Williamsburgh,Nebraska,2025-03-02,2024-11-03,Shipping,Critical,Open,Robert Smith,13.58,Very Dissatisfied,Email,54340,556.11,Cancelled
341804,8334,Joshua Owen,jaysimon@browning.com,70,Turkey,New Michael,Iowa,2024-12-24,2024-10-10,Billing,Critical,Pending,Deborah Reyes,26.08,Very Dissatisfied,Email,96081,907.07,Cancelled
125017,8446,Patty Parker,charles15@yahoo.com,64,Ukraine,East Anthony,Utah,2024-12-25,2024-08-11,Billing,Low,Pending,Elizabeth Brown,32.4,Very Satisfied,Phone,78808,973.15,Pending
285304,6666,Cynthia Ray,sandrasmith@turner.info,30,Papua New Guinea,Leestad,Indiana,2025-02-23,2025-05-16,Returns,Low,Escalated,Brooke French,33.61,Neutral,In-Person,76224,647.14,Cancelled
