InteractionID,CustomerID,CustomerName,CustomerEmail,CustomerAge,Country,City,Region,DateOpened,DateClosed,IssueType,Priority,Status,AssignedAgent,ResolutionTimeHours,CustomerSatisfaction,Channel,OrderID,OrderAmount,OrderStatus
240891,5864,Elizabeth Russo,alexandra11@decker.com,55,Belarus,Harrisontown,Tennessee,2024-12-23,2024-11-23,Technical,Low,Open,Mason Long,45.73,Satisfied,Email,81808,265.3,Delivered
696853,5419,Samantha Jones,valenzuelajennifer@gmail.com,61,Puerto Rico,North Carolinemouth,Montana,2024-09-18,2024-12-07,Technical,Medium,Open,Anna Riley,20.64,Satisfied,Email,88019,818.24,Pending
988598,6830,Timothy Villarreal,kimberlyhouston@yahoo.com,30,Dominican Republic,Port Zachary,Kentucky,2024-10-29,2024-08-26,Technical,Medium,Escalated,Donald Nunez,25.47,Neutral,Web,66662,967.63,Pending
941235,4802,Jeremy Cox,pmoore@scott-hunt.org,26,Norway,Port Thomas,Nevada,2024-08-22,2025-04-14,Account,Medium,Escalated,Robert Wong,7.83,Very Dissatisfied,In-Person,74483,566.36,Cancelled
900875,7431,Alyssa Stewart,qwilson@yahoo.com,27,Bahamas,New Matthewville,Rhode Island,2025-05-05,2024-08-23,Returns,Low,Escalated,Carla Figueroa,16.04,Very Dissatisfied,Web,96258,907.1,Pending
166172,7548,Stacie Williams,zhopkins@gmail.com,29,Albania,New Andrea,Alabama,2025-05-12,2025-06-09,Billing,High,Escalated,Pamela Smith,23.28,Neutral,In-Person,99781,318.23,Pending
367459,3823,Mary Salas,courtneynguyen@hotmail.com,23,Estonia,Isaiahmouth,Tennessee,2025-07-10,2025-01-08,Account,Low,Closed,Megan Smith,3.44,Neutral,In-Person,91997,541.87,Returned
223646,8923,William Gonzalez,frostrichard@morton-welch.com,33,Belarus,Saundersstad,Utah,2024-07-19,2025-06-30,Billing,High,Closed,Adrian Lawrence,0.8,Satisfied,Chatbot,50959,361.75,Returned
619501,5252,Carlos Willis,kwelch@gmail.com,18,Montenegro,Kevinport,Alabama,2024-08-30,2025-01-25,Returns,Low,Open,Alyssa Griffin,2.89,Neutral,In-Person,59624,992.21,Delivered
897926,6400,Derek Gonzalez,fanderson@webster.com,34,Falkland Islands (Malvinas),Martinezborough,Colorado,2024-10-26,2024-08-24,Account,Medium,Open,Kristina Douglas,15.58,Dissatisfied,Web,52699,287.8,Returned
571325,4642,Victor Rogers,david53@edwards-malone.biz,19,Western Sahara,Morganmouth,New Mexico,2024-12-14,2025-06-10,Shipping,Critical,Pending,Krista Ramirez,0.58,Very Dissatisfied,Chatbot,94794,694.82,Returned
595185,5239,Miranda Robinson,gdeleon@davis.biz,30,Haiti,Leeview,Maryland,2025-01-10,2024-10-18,Account,Critical,Open,Sarah Newman,23.62,Very Dissatisfied,In-Person,79999,775.99,Pending
783244,5001,Alexandra Jarvis,uguzman@hotmail.com,25,Kiribati,Port Walterton,Maine,2025-03-12,2024-07-31,Billing,High,Pending,Mary Carter,2.46,Very Dissatisfied,Email,53982,80.62,Cancelled
498055,1500,David Arnold,karengonzalez@gray-klein.com,63,Nicaragua,North Normafurt,Michigan,2025-03-06,2025-01-17,Returns,Low,Closed,Ronald Black,6.94,Dissatisfied,Email,75111,983.16,Cancelled
927036,7596,Phillip Miller,andrew68@thomas-bishop.com,24,Malawi,Melissaport,Maryland,2025-03-09,2025-02-27,Account,High,Escalated,Kelly Morgan,13.34,Neutral,Phone,69004,136.76,Delivered
320153,6186,Amanda Rice,mccarthyrichard@gmail.com,43,Equatorial Guinea,Simmonsmouth,Iowa,2025-05-14,2024-10-14,Shipping,Medium,Open,Alexis Beltran,2.95,Neutral,Web,59513,633.37,Pending
198418,8074,Dylan Henry,holderanne@gmail.com,68,Chad,Wagnerfort,Ohio,2025-01-07,2024-11-23,Technical,Low,Open,Debra Brown,7.57,Very Satisfied,Chatbot,74273,191.88,Returned
611554,5070,James Valdez,qbishop@yahoo.com,38,Congo,South Jimmyland,New York,2025-03-26,2025-05-30,Billing,Medium,Closed,Jerry Kennedy,0.51,Dissatisfied,In-Person,91302,544.76,Returned
129724,5408,Christopher Cohen,john62@gmail.com,55,Martinique,Jonathanberg,Tennessee,2025-06-14,2024-08-18,Billing,High,Escalated,Justin Lyons,100.87,Very Dissatisfied,Web,78412,138.68,Cancelled
976363,4111,Timothy Simmons,sanchezashley@hotmail.com,36,Argentina,Scottfurt,Mississippi,2024-09-30,2025-06-07,Account,Medium,Escalated,Jaime Ross,22.7,Very Satisfied,Chatbot,57073,792.14,Returned
508744,2188,Alexander Smith,sheenaesparza@gmail.com,38,Sierra Leone,Kingfort,Rhode Island,2024-12-01,2025-05-31,Account,Critical,Escalated,Kevin Gill,11.41,Very Satisfied,Chatbot,59634,784.28,Cancelled
553789,3713,Mario Beck,noblemartin@hotmail.com,29,Congo,Nancyborough,North Dakota,2024-07-31,2025-02-27,Account,High,Pending,Gary Martin,0.65,Dissatisfied,Email,79164,618.24,Pending
736944,8267,Jessica Zimmerman,donna63@yahoo.com,60,Marshall Islands,Jillmouth,Rhode Island,2024-07-25,2024-12-04,Billing,Critical,Open,Shannon Hubbard,11.86,Dissatisfied,Chatbot,76855,63.82,Pending
899308,3427,Benjamin Fisher,walkermelanie@gmail.com,46,Nepal,Charlesburgh,Rhode Island,2025-05-14,2025-04-19,Shipping,High,Escalated,Ellen Cummings,14.46,Neutral,In-Person,56894,89.92,Pending
904423,5292,Regina Crane,christopher86@yahoo.com,47,Netherlands Antilles,Floresmouth,Michigan,2024-12-10,2025-03-19,Technical,Low,Closed,Ashley Gould,64.17,Very Satisfied,Chatbot,90094,221.92,Pending
102208,8526,Kristy Pierce,elliselizabeth@yahoo.com,32,Madagascar,Kylefurt,Florida,2025-01-03,2024-07-28,Technical,Medium,Pending,Devin Rhodes,7.83,Very Dissatisfied,Email,54370,973.43,Pending
829633,9627,Karen Becker,rodney35@owens.com,68,Montserrat,East Abigailmouth,California,2025-03-05,2024-10-27,Technical,Low,Escalated,Brandon Perez,22.89,Very Satisfied,Chatbot,97060,291.87,Delivered
567022,3662,Shannon Cole,kristingarcia@diaz-bruce.com,22,Jersey,Welchshire,Vermont,2025-05-19,2025-01-20,Shipping,Critical,Escalated,Caitlyn Burnett,26.26,Dissatisfied,Email,73361,763.46,Delivered
379267,3271,Ronnie Lowe,micheal02@yahoo.com,41,El Salvador,Holmesville,Colorado,2024-11-02,2024-10-16,Account,Critical,Open,Daniel Stevens,4.94,Satisfied,Web,87062,317.17,Cancelled
856589,3262,Kristine Shaffer,dorothy89@yahoo.com,41,Spain,New Debraborough,California,2024-12-23,2025-04-08,Technical,High,Pending,Victoria Henderson,16.91,Very Dissatisfied,In-Person,96241,292.74,Returned
940775,8220,Deanna Collins,stephen01@hotmail.com,59,Honduras,West Michelle,Arkansas,2024-12-02,2025-02-07,Technical,High,Pending,Madison Stewart,37.06,Very Dissatisfied,Email,99830,294.97,Pending
339874,6916,Amber Ellis,samantha36@hotmail.com,67,Mauritania,East Dianeburgh,Idaho,2025-06-16,2025-07-14,Account,Critical,Escalated,Dr. Jeanette Peterson,2.44,Satisfied,Chatbot,94834,332.2,Returned
719869,6075,Crystal Wallace,joshuabutler@hunter.info,73,Puerto Rico,New Juan,Nevada,2024-10-13,2024-11-11,Account,High,Closed,Benjamin Powell,22.36,Dissatisfied,In-Person,56231,58.5,Returned
207192,7565,Tammy Horton,mwalker@martinez-mata.org,48,Djibouti,Lake Stephanie,Oregon,2025-03-17,2024-08-23,Returns,Low,Pending,Brian Byrd,0.63,Neutral,Email,97870,987.82,Cancelled
432849,4940,Janet Kim,millerjohn@davis-wilkerson.info,50,Finland,East Adamport,Wyoming,2024-11-16,2024-10-11,Shipping,High,Pending,Anthony Anderson,0.17,Dissatisfied,In-Person,69898,588.14,Returned
132075,2897,Heather Glover,jenningscaleb@thomas.info,40,Saint Kitts and Nevis,North Cathyport,Nebraska,2024-09-03,2024-08-12,Technical,Low,Escalated,Christopher Johnson,1.47,Neutral,In-Person,59429,621.75,Cancelled
123406,4378,Paul Harmon,mphillips@yahoo.com,31,Guyana,South Derek,New York,2025-04-29,2024-11-14,Returns,Medium,Escalated,Donna Snyder,15.76,Dissatisfied,Email,53774,561.35,Delivered
126681,6005,Adrian Morgan,dickersonamanda@diaz.net,59,Bolivia,Blairville,Oklahoma,2024-10-13,2025-06-30,Shipping,Low,Pending,Crystal Fox,62.39,Neutral,Phone,59032,91.65,Delivered
781098,2117,Rachel Berg,terrellsara@anderson.biz,27,Russian Federation,Port Camerontown,Missouri,2025-04-12,2025-03-13,Shipping,Critical,Closed,Jerome Mathis,12.48,Neutral,Web,92937,497.94,Delivered
667712,2743,Brad Wilson,nparker@bean-brown.com,25,Denmark,New Kevinview,Rhode Island,2025-06-15,2025-01-16,Billing,Critical,Open,Jeremy Maxwell,1.87,Dissatisfied,In-Person,58378,562.69,Cancelled
109652,4729,Maria Anderson DDS,turnerlisa@lane.org,40,Equatorial Guinea,Pughville,Idaho,2024-10-08,2025-07-10,Account,Low,Pending,Rachel Smith,47.42,Very Satisfied,Phone,79775,689.31,Cancelled
499721,7504,Lisa Hall,bryanheath@griffin.com,19,Brazil,Ashleyview,Vermont,2025-03-21,2024-10-16,Technical,Medium,Open,Crystal Jackson,17.58,Neutral,Web,53392,557.46,Cancelled
819830,6265,Mercedes White,xwashington@kelley.com,18,Lesotho,Millsmouth,South Dakota,2025-05-03,2025-01-01,Returns,High,Pending,Tammy Murphy,9.22,Very Dissatisfied,Web,86224,102.32,Cancelled
327120,9066,Kathy Andrews,lgarrett@thomas-stewart.info,35,Italy,New Chadbury,Texas,2025-06-10,2025-05-31,Technical,High,Pending,Pamela Rivers,79.15,Very Satisfied,Web,62139,639.09,Returned
542621,2637,Edward Fisher,yvargas@yahoo.com,26,Indonesia,Alvarezborough,Connecticut,2025-04-17,2025-01-22,Returns,Critical,Pending,Lisa Marks,66.84,Very Satisfied,Phone,85405,602.12,Delivered
861111,4059,Julia Cline,johnsonandrea@gmail.com,42,New Zealand,Duncanstad,Montana,2025-04-05,2024-12-29,Technical,High,Escalated,Eric Roberts,7.23,Neutral,Chatbot,53169,568.32,Delivered
130451,1736,Cristian Pineda,ghawkins@gmail.com,31,Holy See (Vatican City State),Port Williamview,Ohio,2025-07-16,2025-06-09,Shipping,Low,Open,Amber Griffin,5.4,Very Satisfied,Email,86452,851.12,Delivered
653259,1906,Lisa Soto,melodyrivera@reilly.net,69,Mauritius,Port Joseph,Iowa,2025-01-12,2025-04-26,Shipping,High,Open,Theresa Serrano,21.33,Very Satisfied,Web,86202,475.02,Returned
332460,1381,James Clark,evansjohn@vega.com,65,Guinea-Bissau,New Amanda,Mississippi,2024-08-16,2024-09-23,Account,Medium,Escalated,Madison Smith,44.36,Neutral,Email,87702,623.39,Cancelled
900798,4548,William Manning,austinvictor@white.com,60,Montserrat,West Cindy,California,2025-06-03,2024-07-26,Billing,Low,Pending,Jill Lozano,9.85,Satisfied,Email,92629,167.43,Cancelled
559158,1568,April Bush,michael36@lopez.org,26,Lao People's Democratic Republic,Jesseville,Missouri,2025-02-28,2024-12-11,Returns,Critical,Pending,Todd Robinson,21.19,Neutral,Email,68448,289.76,Returned
619896,9101,Jonathan Leonard,cduncan@silva.com,48,San Marino,Reynoldsbury,Washington,2025-01-14,2024-08-10,Billing,Critical,Closed,Jessica Jones,4.25,Satisfied,Email,78131,857.84,Pending
679715,9659,Jacob Spencer,carteramy@ward.com,25,Poland,Jamesport,Alaska,2025-07-09,2024-09-08,Returns,Medium,Open,Betty Harrison,5.19,Neutral,Phone,70098,65.41,Cancelled
344406,8246,Kayla Stewart,vincentbrewer@white-bright.com,21,Ethiopia,New Anita,Maryland,2025-03-27,2025-01-14,Technical,High,Open,Travis Carpenter,34.38,Very Satisfied,Chatbot,99620,198.44,Delivered
462493,6610,Lauren Carter,scott90@hotmail.com,24,Italy,Myerstown,North Carolina,2024-11-17,2024-11-30,Shipping,Critical,Escalated,Kyle Cross,3.9,Very Dissatisfied,In-Person,96765,832.22,Returned
342081,5498,Desiree Smith,melissaglenn@allen-goodman.biz,39,Dominica,Wilsonland,Indiana,2024-10-13,2024-07-24,Billing,High,Closed,Benjamin Taylor,7.42,Neutral,Phone,78445,267.87,Delivered
809727,2934,Brandon Vasquez,michaellogan@yahoo.com,67,Malta,Reedtown,South Dakota,2024-07-16,2025-03-12,Account,Medium,Closed,Sheila Chambers,28.07,Very Satisfied,Chatbot,99105,296.24,Returned
329408,3829,Sheila Adkins,stephenlowe@yahoo.com,21,Heard Island and McDonald Islands,Larahaven,Kentucky,2025-04-08,2025-01-03,Billing,High,Escalated,Ashley Burns,0.36,Very Satisfied,Email,55396,715.75,Delivered
897911,2560,Wanda Baker,jeffreymoore@stephens.biz,22,Montserrat,East Cheryl,Connecticut,2024-10-29,2025-01-16,Technical,Medium,Open,Connie Davis,0.79,Neutral,Chatbot,51650,968.2,Cancelled
581929,4638,David Garcia,mdavis@gmail.com,42,Nicaragua,West Amandaland,Nevada,2025-01-31,2025-07-06,Account,Low,Pending,James Rice,8.14,Very Satisfied,Email,80764,238.37,Delivered
403858,7548,Kayla Anderson,amyclark@hotmail.com,67,Myanmar,Lake Barbarafurt,Massachusetts,2024-12-29,2025-07-05,Account,Critical,Pending,David Adkins,9.85,Very Satisfied,Chatbot,68601,760.12,Returned
122533,4821,Veronica Jones,danielle16@hotmail.com,61,Turkmenistan,Nicholasside,Oklahoma,2024-10-19,2025-03-22,Account,Critical,Escalated,Jason Miller,10.79,Satisfied,Chatbot,76729,183.48,Cancelled
536396,9110,Antonio Dennis,lawrence26@hotmail.com,30,Sudan,Christensenland,Utah,2025-03-22,2025-01-24,Shipping,High,Closed,Brent Martin,39.51,Very Dissatisfied,Chatbot,67012,413.37,Delivered
978264,8369,Andrea Smith,charlesperez@fleming-yang.info,44,South Africa,Port Erica,Hawaii,2025-06-03,2024-09-16,Technical,Medium,Pending,Dawn Good,0.88,Very Satisfied,Chatbot,65006,357.12,Delivered
683484,7191,Faith Smith,mayermelvin@yahoo.com,70,Taiwan,Carlosmouth,Indiana,2025-02-01,2025-04-10,Account,High,Closed,Jordan Lewis,10.65,Very Dissatisfied,In-Person,50727,889.6,Cancelled
773494,3762,Daniel Gonzalez,brianlowery@gmail.com,34,Cocos (Keeling) Islands,West Lauren,Florida,2025-01-07,2024-09-08,Account,Low,Closed,Cheryl Snyder,24.41,Neutral,Email,59168,672.61,Delivered
204857,4796,Juan King,donna84@montes.com,63,Chile,Lake William,Rhode Island,2024-10-10,2025-01-25,Returns,Low,Pending,Brenda Munoz,3.7,Neutral,Phone,51499,366.9,Returned
294936,4862,Daniel Eaton,jordan76@hotmail.com,69,Chile,Lake Dawn,Oregon,2025-02-14,2024-09-07,Technical,High,Escalated,Angela Kennedy,46.8,Very Satisfied,Email,58532,70.53,Cancelled
759924,5647,Justin Chavez,lanejason@hotmail.com,59,Romania,Lake Aaron,Alabama,2025-04-09,2025-01-06,Technical,Critical,Escalated,William Byrd,24.89,Neutral,In-Person,92596,400.56,Cancelled
858790,8578,Jason Smith,johngilmore@mason.com,36,Cameroon,New Joshua,Kentucky,2024-09-18,2024-09-27,Billing,High,Closed,Susan Watts,2.94,Neutral,Chatbot,77067,973.57,Returned
410787,9962,Mark Juarez,michelle51@gmail.com,33,Belize,Wrighttown,New Hampshire,2025-06-29,2025-04-06,Technical,Medium,Pending,Nicole Brown,5.6,Satisfied,Chatbot,67561,552.64,Pending
226762,7383,Christopher Bullock,ricardodixon@gmail.com,18,Haiti,Sharonside,Kentucky,2025-06-25,2025-02-27,Billing,Low,Closed,Randy Morales,32.84,Neutral,Email,57434,755.04,Delivered
879245,4471,Robert Humphrey,danielburnett@yahoo.com,22,Congo,Derekbury,Rhode Island,2025-05-28,2025-01-01,Technical,High,Open,Bridget Suarez,12.4,Neutral,Phone,81503,378.12,Pending
448856,8400,Roy Hernandez,lwise@wall.com,43,Costa Rica,East Scottfort,Connecticut,2024-11-10,2025-07-04,Account,Critical,Pending,Andrea Middleton,15.9,Very Satisfied,Email,73296,487.56,Delivered
