InteractionID	CustomerID	CustomerName	CustomerEmail	CustomerAge	Country	City	Region	DateOpened	DateClosed	IssueType	Priority	Status	AssignedAgent	ResolutionTimeHours	CustomerSatisfaction	Channel	OrderID	OrderAmount	OrderStatus
349523	7577	Eric Anderson	john45@gmail.com	60	Saint Helena	Edwardsstad	Pennsylvania	2025-02-27	2024-09-11	Shipping	Critical	Open	Roy Bowman	11.69	Very Dissatisfied	Chatbot	84249	393.47	Delivered
721429	8182	Ann Brandt	andrew32@king.com	42	Australia	Flemingmouth	Georgia	2025-02-18	2024-12-03	Account	Low	Closed	Gregory Huang	3.52	Dissatisfied	Chatbot	63242	609.34	Pending
670665	3958	Victor Lee	santosbrittany@medina.info	21	Bahrain	Suttonmouth	Kentucky	2024-10-29	2025-02-26	Technical	Low	Escalated	Cody Tucker	14.74	Very Satisfied	Chatbot	91035	359.91	Returned
236758	8460	Patrick Schmidt	briangomez@yahoo.com	74	El Salvador	Davidmouth	Kansas	2025-03-24	2025-03-09	Account	Low	Pending	Emily Garrett	0.95	Dissatisfied	Web	56413	639.33	Delivered
487926	1610	Katie Mccoy	xtrevino@ward.org	26	Guernsey	Port Brenda	Delaware	2025-02-05	2024-12-20	Billing	Medium	Pending	Erin Little	14.73	Neutral	Email	85674	148.14	Pending
733256	5204	Michael Hunt	mendozapatricia@gmail.com	18	Lao People's Democratic Republic	Kristinetown	Mississippi	2024-07-17	2025-01-28	Returns	High	Escalated	Rebecca Wheeler	12.31	Satisfied	Email	99748	455.64	Delivered
597081	7011	Abigail Jones	nmendez@hotmail.com	39	Dominican Republic	West Vincent	Tennessee	2024-09-17	2025-01-25	Technical	Medium	Escalated	Joel Stewart	16.47	Dissatisfied	Phone	53552	97.65	Cancelled
756115	7078	Tammy Fisher	gail25@hotmail.com	37	Namibia	Gilbertborough	Nevada	2024-12-11	2025-03-13	Billing	Low	Closed	Mark Jones	14.9	Very Dissatisfied	In-Person	71101	690.15	Cancelled
709067	8335	Kristina Myers	michelle03@yahoo.com	28	Korea	Michaelville	Washington	2025-07-14	2025-03-22	Returns	Medium	Open	Jason Perez	2.06	Neutral	Web	86766	384.98	Pending
168711	9672	Kyle Johnson	kellyjimenez@richard-johnson.net	61	Barbados	Gardnerbury	New York	2024-10-27	2024-10-17	Account	High	Escalated	James Holloway	32.48	Very Dissatisfied	Chatbot	60654	616.49	Cancelled
735017	6923	Oscar Scott	uortiz@taylor-miller.net	59	Portugal	New Jennifertown	Iowa	2025-01-12	2024-09-06	Shipping	Low	Pending	Kathleen Perez	33.4	Dissatisfied	Web	80625	672.43	Returned
113807	7583	David Howard	zacharyhill@hotmail.com	28	Djibouti	Danielleport	Tennessee	2025-05-23	2024-12-16	Technical	Medium	Pending	Jack Miller	77.27	Dissatisfied	Chatbot	69476	864.82	Delivered
978149	4667	Natasha Frye	ariana21@mueller.com	39	Sri Lanka	Ryanport	Michigan	2025-06-04	2024-11-08	Returns	Medium	Closed	Jessica Deleon	12.92	Satisfied	Email	92926	360.66	Cancelled
592025	1044	Dale Rogers	shawnperkins@gmail.com	73	Singapore	Laurieport	Louisiana	2024-08-30	2025-04-28	Returns	Medium	Closed	Misty Miller	21.38	Dissatisfied	Chatbot	83799	789.33	Cancelled
371952	4424	David Richards	weberjoseph@gmail.com	56	Cote d'Ivoire	New Robin	Tennessee	2025-02-22	2025-03-11	Account	High	Open	Gina Williams	23.65	Very Dissatisfied	Chatbot	87341	564.06	Returned
677539	5238	Dana White	xandrews@randolph-mcdaniel.com	50	Barbados	Bellland	Montana	2025-01-23	2025-05-14	Returns	Low	Open	Austin Burns	28.16	Neutral	In-Person	60535	824.84	Delivered
345713	7056	Christopher Mason	lisamitchell@nolan.com	38	Lithuania	Charlesport	Rhode Island	2025-04-20	2025-02-10	Technical	Critical	Pending	Matthew Hawkins	6.54	Neutral	Phone	52323	539.03	Returned
301058	3350	Stephen Cunningham	ashleybailey@yahoo.com	62	Western Sahara	South Cameronfurt	Michigan	2025-02-05	2025-07-10	Returns	Medium	Open	Kyle Carter	4.71	Dissatisfied	Email	71533	959.58	Returned
851984	8536	Jeffrey Williams	johnklein@warren.com	47	Kuwait	New Gary	Ohio	2024-10-08	2025-04-06	Billing	High	Open	Alexandria Baker	34.81	Dissatisfied	Chatbot	94299	969.13	Cancelled
593107	9746	Nicole Cox	fletcheramber@jackson.com	57	Pakistan	Amystad	North Dakota	2025-06-18	2024-08-29	Billing	High	Escalated	Joshua Wright	22.71	Neutral	Phone	55038	907.11	Pending
667252	4199	Denise Robinson	qsheppard@yahoo.com	32	Falkland Islands (Malvinas)	North John	Connecticut	2025-02-14	2024-10-13	Technical	High	Open	Dawn Morgan	14.46	Satisfied	In-Person	69666	785.92	Delivered
977093	3606	Craig Obrien	nathanielhall@gmail.com	74	Marshall Islands	Lake Brian	Colorado	2024-09-02	2024-12-27	Billing	Medium	Open	Lori Walker	25.92	Very Dissatisfied	In-Person	53141	637.18	Cancelled
676330	4428	Monica Garcia	torresmichael@yahoo.com	44	Croatia	Carterchester	Kentucky	2025-04-05	2025-05-16	Technical	Critical	Closed	Elizabeth Gregory	39.45	Dissatisfied	Web	59304	357.13	Cancelled
599492	1364	Karen Gray	shuffman@pearson.com	35	Lao People's Democratic Republic	Hughesburgh	New York	2025-04-10	2024-12-21	Technical	Low	Escalated	Kenneth Robinson	4.73	Satisfied	Email	70168	496.36	Pending
516425	3797	Jessica Gonzalez	aknight@yahoo.com	44	Norfolk Island	Amyborough	Iowa	2025-06-02	2025-06-12	Account	Low	Pending	Katrina Smith	14.31	Very Dissatisfied	Phone	91251	954.9	Returned
770111	7614	Matthew Espinoza	randallmoss@stewart-wagner.com	40	Botswana	Lopezside	Alabama	2025-03-19	2025-03-03	Returns	Critical	Closed	Larry Dixon	88.93	Very Dissatisfied	Phone	89073	555.62	Returned
257932	9251	Cheyenne Macdonald	brandon88@peterson.com	20	Tajikistan	North Zachary	Nevada	2024-12-08	2024-08-23	Account	High	Pending	Anthony Hopkins	18.59	Very Dissatisfied	In-Person	81419	312.65	Pending
343187	3757	Michelle Petty	carolrodriguez@gmail.com	20	Portugal	Lake Jennifer	Oregon	2025-01-06	2025-06-17	Billing	High	Closed	Morgan Wang	5.5	Very Dissatisfied	Chatbot	69979	215.13	Delivered
765699	1450	Ricardo Lam	qsmith@gmail.com	19	Hong Kong	East Timothy	Maine	2025-03-18	2025-07-04	Billing	High	Pending	Wesley Bates	20.68	Dissatisfied	Chatbot	99247	572.36	Delivered
